1690986291279786752,12.68091,-0.28578,1.16797,0.99971,-0.01422,-0.01049,0.01665,
1690986291379577344,12.79742,-0.28348,1.16848,0.99995,-0.00328,-0.00900,-0.00168,
1690986291479281664,12.91284,-0.28379,1.17696,0.99995,0.00618,-0.00087,-0.00819,
1690986291679721472,13.14179,-0.29526,1.18508,0.99976,-0.00184,-0.01569,-0.01517,
1690986291779324416,13.25754,-0.30507,1.18014,0.99941,-0.00359,-0.03346,-0.00652,
1690986291879635456,13.37077,-0.31392,1.17873,0.99972,-0.00469,-0.02311,0.00100,
1690986291979446016,13.48126,-0.32046,1.18376,0.99993,-0.00517,-0.00993,0.00391,
1690986292079233024,13.59206,-0.32510,1.18649,0.99985,-0.00784,0.00135,0.01568,
1690986292179229440,13.70442,-0.32792,1.18257,0.99973,-0.00707,0.01479,0.01655,
1690986292279196672,13.82096,-0.32894,1.17471,0.99991,-0.01035,0.00516,0.00726,
1690986292380389888,13.93996,-0.32737,1.17593,0.99988,-0.01296,0.00004,-0.00823,
1690986292579253504,14.16933,-0.32898,1.20436,0.99969,-0.00240,0.00157,-0.02471,
1690986292679476736,14.28499,-0.33404,1.21038,0.99919,0.00814,-0.00043,-0.03932,
1690986292779581184,14.40326,-0.34145,1.20387,0.99929,0.00431,-0.01538,-0.03424,
1690986292879417856,14.52184,-0.34950,1.19795,0.99970,-0.00299,-0.01851,-0.01577,
1690986292979337216,14.63804,-0.35747,1.20497,0.99997,-0.00133,-0.00769,-0.00290,
1690986293079374336,14.75327,-0.36346,1.21835,0.99996,-0.00155,-0.00422,0.00822,
1690986293179394304,14.86807,-0.36616,1.22687,0.99988,-0.00277,-0.00031,0.01515,
1690986293279724800,14.98299,-0.36705,1.22585,0.99980,-0.00460,-0.01188,0.01567,
1690986293379411712,15.09572,-0.36551,1.22352,0.99974,-0.00429,-0.02163,0.00517,
1690986293479771904,15.20693,-0.36295,1.22904,0.99962,-0.00241,-0.02476,-0.01154,
1690986293579337216,15.31755,-0.36227,1.24260,0.99952,0.00113,-0.02241,-0.02115,
1690986293679226880,15.42886,-0.36504,1.25284,0.99951,0.00574,-0.01281,-0.02786,
1690986293879507200,15.65572,-0.37791,1.24324,0.99939,0.00395,-0.02745,-0.02122,
1690986293979210240,15.76907,-0.38312,1.24252,0.99965,-0.00209,-0.02527,-0.00737,
1690986294079779072,15.88298,-0.38849,1.25314,0.99988,-0.00481,-0.01388,0.00403,
1690986294179677696,15.99530,-0.39236,1.26306,0.99980,-0.01046,0.00112,0.01710,
1690986294379418880,16.22332,-0.39618,1.26165,0.99951,-0.01424,-0.02078,0.01872,
1690986294479491072,16.33853,-0.39480,1.26246,0.99956,-0.01358,-0.02599,0.00464,
1690986294579486464,16.45418,-0.39550,1.27369,0.99949,-0.01176,-0.02775,-0.01008,
1690986294779131648,16.67621,-0.40290,1.29862,0.99943,-0.00462,-0.02548,-0.02143,
1690986294879614720,16.79302,-0.40842,1.29328,0.99869,-0.00959,-0.04549,-0.02150,
1690986294979358464,16.91037,-0.41212,1.28229,0.99877,-0.01188,-0.04641,-0.01270,
1690986295079390720,17.02601,-0.41417,1.27868,0.99942,-0.01112,-0.03153,-0.00604,
